"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"CI Model Survival Curves- 10/2024"
"11/30/2024 10:03:01:151 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"1","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1512","396","1513","2"
"2","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2301","493","2302","2"
"3","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2301","486","2302","1"
"4","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1785","421","1786","1"
"5","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3207","574","3208","2"
"6","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3634","645","3635","2"
"7","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3054","589","3055","2"
"8","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2076","468","2077","2"
"9","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2108","478","2109","1"
"10","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3947","611","3948","2"
"11","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2805","555","2806","2"
"12","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2817","549","2818","2"
"13","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2181","482","2182","2"
"14","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3646","601","3647","2"
"15","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2511","522","2512","2"
"16","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3579","618","3580","2"
"17","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2856","538","2857","2"
"18","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2261","488","2262","1"
"19","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4054","616","4055","2"
"20","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2949","570","2950","2"
"21","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2496","526","2497","2"
"22","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4334","673","4335","2"
"23","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4067","698","4068","2"
"24","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3094","568","3095","2"
"25","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3416","601","3417","2"
"26","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3795","617","3796","2"
"27","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3246","588","3247","2"
"28","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4700","697","4701","2"
"29","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3271","590","3272","2"
"30","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4562","655","4563","2"
"31","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3991","614","3992","2"
"32","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1886","450","1887","1"
"33","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3126","565","3127","1"
"34","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2039","482","2040","2"
"35","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2293","505","2294","1"
"36","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1248","399","1249","1"
"37","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1918","441","1919","1"
"38","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3297","574","3298","2"
"39","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3396","597","3397","2"
"40","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3210","540","3211","2"
"41","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3507","623","3508","2"
"42","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4463","702","4464","2"
"43","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2923","565","2924","1"
"44","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3409","625","3410","2"
"45","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3848","647","3849","2"
"46","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3919","623","3920","2"
"47","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3547","632","3548","1"
"48","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2681","526","2682","2"
"49","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4093","642","4094","2"
"50","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1562","402","1563","1"
"51","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4371","695","4372","2"
"52","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1527","394","1528","2"
"53","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","692","265","693","2"
"54","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2003","477","2004","2"
"55","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3818","652","3819","2"
"56","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2929","511","2930","2"
"57","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","3702","643","3703","2"
"58","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2808","520","2809","2"
"59","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","2859","528","2860","1"
"60","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","1872","487","1873","2"
"61","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4340","678","4341","2"
"62","true","0.59","34","53","36","0.04","0.59","34","53","36","0.9","0.2","0.03","4635","711","4636","2"
