BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,
PPw_yeast_v4.1.nlogo,,,
NI Model Survival Curves- 10/2024,,,
11/28/2024 11:05:57:387 -0500,,,
min-pxcor,max-pxcor,min-pycor,max-pycor
-20,20,-10,10
[run number],ticks,g-death-tracker,
5,1821,1,
2,2100,1,
3,2669,1,
4,2917,2,
1,2987,2,
6,2183,1,
11,601,2,
9,1812,1,
12,1638,1,
14,619,2,
8,2494,1,
13,2169,1,
7,3711,2,
16,1924,1,
15,2511,1,
17,2115,1,
20,1034,1,
18,2836,1,
10,4200,2,
21,2481,1,
22,2821,1,
24,2789,2,
19,4139,1,
23,3188,2,
27,2067,1,
29,2788,1,
26,3797,2,
28,3186,2,
25,4404,1,
33,1140,2,
31,1883,1,
30,2779,2,
34,1478,1,
32,2207,1,
35,1784,1,
36,2149,1,
38,2086,1,
37,2244,1,
40,2054,1,
44,1657,1,
39,3028,1,
45,635,2,
43,2327,1,
42,2699,1,
41,3297,2,
48,1797,1,
50,686,2,
51,1297,1,
46,2697,1,
47,2711,2,
52,2049,2,
53,1529,1,
54,1991,2,
58,1653,1,
56,2543,1,
49,4181,2,
55,2839,1,
59,1486,1,
57,2744,1,
60,1345,1,
63,2081,2,
65,2258,1,
64,2358,2,
61,3158,1,
62,3107,1,
70,1692,1,
66,3254,2,
69,3227,1,
71,2539,1,
68,3494,2,
73,1192,2,
75,820,2,
76,1423,1,
72,2571,1,
78,1651,2,
74,2373,1,
67,4519,1,
81,1343,1,
83,783,2,
80,2386,1,
77,3163,2,
82,2706,1,
85,2354,2,
84,2817,2,
79,4008,2,
88,1833,1,
87,2550,1,
86,3593,2,
90,2769,1,
89,3134,1,
91,2999,2,
94,1429,1,
93,2227,1,
96,1438,2,
97,1783,2,
92,3750,2,
100,1703,2,
95,3143,1,
98,2696,1,
99,2716,1,
