"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PPw_yeast_v4.1.nlogo"
"NI Model Survival Curves- 10/2024"
"11/28/2024 16:37:07:769 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"1","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2193","629","2194","1"
"2","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2915","909","2916","1"
"3","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2505","746","2506","1"
"4","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2262","701","2263","2"
"5","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1914","574","1915","2"
"7","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2474","752","2475","1"
"6","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3097","939","3098","1"
"9","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1598","458","1599","2"
"10","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","547","151","548","2"
"8","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3309","1066","3310","1"
"11","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2936","889","2937","2"
"12","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1910","544","1911","1"
"13","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2653","819","2654","1"
"14","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2680","828","2681","1"
"15","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2247","685","2248","2"
"16","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2121","671","2122","1"
"17","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2329","728","2330","1"
"18","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3019","913","3020","1"
"20","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2168","641","2169","2"
"19","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3806","1167","3807","2"
"21","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2716","829","2717","2"
"22","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2047","603","2048","1"
"24","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2670","798","2671","2"
"25","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2377","665","2378","1"
"23","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4189","1338","4190","2"
"27","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2461","777","2462","1"
"28","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1395","398","1396","1"
"26","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3951","1221","3952","2"
"30","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","574","155","575","2"
"29","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2970","898","2971","2"
"31","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2348","736","2349","1"
"32","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3857","1239","3858","2"
"33","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","4075","1286","4076","2"
"35","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2232","662","2233","1"
"34","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3048","929","3049","2"
"37","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1828","552","1829","2"
"38","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1729","512","1730","1"
"39","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1378","398","1379","1"
"40","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","884","244","885","2"
"36","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3804","1182","3805","2"
"42","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","1977","569","1978","2"
"41","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3061","933","3062","1"
"43","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","2603","794","2604","1"
"45","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.03","3371","1087","3372","2"
