"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (Beneficial-Microbe-molecule-secretion-rate)"
"01/08/2025 08:40:59:365 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"8","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2180","978","2181","2","40"
"6","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2023","893","2024","1","32"
"5","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2027","946","2028","1","39"
"7","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2715","1115","2716","2","41"
"11","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2220","956","2221","2","38"
"3","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2498","1045","2499","1","40"
"2","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2803","1107","2804","1","38"
"15","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1592","740","1593","1","31"
"12","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3988","1387","3989","2","36"
"18","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1718","834","1719","1","32"
"10","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3481","1301","3482","1","40"
"9","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3575","1307","3576","2","38"
"1","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2875","1116","2876","1","36"
"16","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3060","1230","3061","1","42"
"23","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2015","841","2016","1","39"
"4","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","4367","1508","4368","2","39"
"13","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3886","1420","3887","2","38"
"25","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1785","772","1786","2","31"
"20","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2692","1203","2693","1","41"
"22","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2343","1040","2344","1","38"
"19","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3027","1212","3028","1","41"
"14","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3882","1404","3883","1","41"
"21","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3242","1304","3243","1","39"
"29","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1941","886","1942","2","38"
"24","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3113","1271","3114","1","40"
"17","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3853","1393","3854","2","38"
"26","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3066","1145","3067","2","37"
"35","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2143","942","2144","2","39"
"30","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2139","887","2140","1","40"
"38","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1810","856","1811","1","35"
"27","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3643","1384","3644","1","39"
"34","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2504","982","2505","1","36"
"36","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2916","1190","2917","2","41"
"28","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","4092","1305","4093","1","36"
"33","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2997","1265","2998","1","40"
"37","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3083","1282","3084","1","38"
"42","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1696","789","1697","1","30"
"39","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3069","1277","3070","1","40"
"31","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3375","1375","3376","1","39"
"45","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2029","927","2030","1","35"
"46","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2241","960","2242","1","40"
"44","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2412","1047","2413","2","42"
"43","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3051","1230","3052","2","37"
"40","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3828","1335","3829","2","37"
"32","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","4233","1549","4234","1","41"
"50","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2493","1067","2494","1","42"
"52","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2217","985","2218","1","39"
"53","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2732","1174","2733","1","41"
"47","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3279","1231","3280","2","38"
"48","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3716","1415","3717","1","39"
"49","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3295","1183","3296","2","39"
"57","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1990","908","1991","2","36"
"51","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3508","1190","3509","1","41"
"62","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1833","748","1834","1","36"
"56","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3292","1308","3293","2","41"
"54","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3273","1299","3274","2","42"
"63","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1920","848","1921","1","39"
"60","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2468","997","2469","2","37"
"59","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3367","1281","3368","2","40"
"64","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2043","946","2044","1","39"
"55","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3910","1325","3911","2","38"
"67","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1508","669","1509","1","29"
"71","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","931","470","932","1","19"
"58","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3915","1344","3916","2","37"
"61","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3277","1252","3278","2","39"
"66","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3052","1230","3053","2","37"
"70","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2690","1078","2691","2","37"
"68","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2464","1057","2465","1","39"
"72","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2431","957","2432","2","36"
"77","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1058","527","1059","2","19"
"75","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2798","1063","2799","1","37"
"74","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3094","1190","3095","2","38"
"41","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","4378","1466","4379","2","41"
"65","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","3290","1287","3291","1","39"
"78","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","2058","944","2059","1","39"
"81","true","0.59","34","53","36","0.04","0.59","34","53","36","0.1","0.2","0.02","1521","719","1522","1","31"
