"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (adhesion/deadhesion)"
"12/20/2024 23:23:39:968 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"5","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1991","644","1992","2","36"
"11","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1655","568","1656","1","34"
"7","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2127","699","2128","1","33"
"10","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1992","674","1993","1","36"
"3","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1872","651","1873","1","36"
"8","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2525","837","2526","1","37"
"9","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2021","701","2022","1","41"
"6","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2358","787","2359","2","38"
"14","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1581","512","1582","1","36"
"17","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1368","456","1369","1","30"
"4","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2907","971","2908","1","38"
"16","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2010","685","2011","2","36"
"22","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1244","445","1245","1","28"
"12","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3285","1087","3286","2","38"
"15","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2523","844","2524","2","39"
"2","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3467","1174","3468","1","43"
"24","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1357","435","1358","1","33"
"18","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2500","836","2501","2","37"
"21","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2076","693","2077","1","37"
"28","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1624","535","1625","1","29"
"27","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1611","544","1612","2","35"
"20","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2925","973","2926","1","40"
"26","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2433","805","2434","2","37"
"13","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3658","1206","3659","2","41"
"31","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2184","735","2185","1","38"
"23","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3132","1087","3133","2","39"
"29","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2528","825","2529","1","38"
"39","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","567","188","568","2","6"
"1","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3404","1172","3405","1","42"
"34","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1632","551","1633","1","32"
"19","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","4159","1453","4160","2","43"
"36","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2474","826","2475","1","38"
"25","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","4095","1387","4096","2","41"
"32","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3370","1157","3371","1","41"
"38","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2918","954","2919","1","40"
"35","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3107","1047","3108","1","35"
"37","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2830","954","2831","2","40"
"42","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2574","818","2575","1","37"
"43","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1912","682","1913","1","36"
"33","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3600","1207","3601","1","44"
"45","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1773","579","1774","2","33"
"30","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","4082","1406","4083","2","39"
"40","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3226","1107","3227","1","42"
"44","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2165","750","2166","2","39"
"47","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1989","702","1990","1","37"
"52","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1629","556","1630","1","39"
"58","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","541","188","542","1","8"
"54","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1609","533","1610","2","30"
"46","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2454","816","2455","1","37"
"50","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2116","736","2117","1","41"
"56","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1467","475","1468","1","29"
"49","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2350","806","2351","1","35"
"57","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1523","515","1524","1","32"
"48","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2714","907","2715","1","40"
"59","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1710","576","1711","1","36"
"65","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1492","473","1493","2","30"
"55","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2448","811","2449","1","37"
"51","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3109","1024","3110","1","41"
"60","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1901","638","1902","2","33"
"41","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3442","1162","3443","2","41"
"64","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2296","765","2297","1","37"
"67","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2088","695","2089","1","38"
"53","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3434","1168","3435","1","40"
"62","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2554","828","2555","1","38"
"69","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","1996","682","1997","1","31"
"63","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","2781","892","2782","2","40"
"61","true","0.59","34","20","20","0.04","0.59","0","53","36","0.9","0.2","0.02","3184","1109","3185","1","40"
