"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (Yeast-biofilm-secretion-rate)"
"12/20/2024 11:18:30:244 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker"
"1","true","0.59","34","53","36","0.01","0.59","0","53","36","0.9","0.2","0.02","608","165","609","2"
"6","true","0.59","34","53","36","0.06","0.59","0","53","36","0.9","0.2","0.02","1265","379","1266","2"
"7","true","0.59","34","53","36","0.07","0.59","0","53","36","0.9","0.2","0.02","1456","450","1457","2"
"5","true","0.59","34","53","36","0.05","0.59","0","53","36","0.9","0.2","0.02","1585","488","1586","1"
"11","true","0.59","34","53","36","0.11","0.59","0","53","36","0.9","0.2","0.02","1259","363","1260","1"
"15","true","0.59","34","53","36","0.15","0.59","0","53","36","0.9","0.2","0.02","943","289","944","1"
"9","true","0.59","34","53","36","0.09","0.59","0","53","36","0.9","0.2","0.02","2505","793","2506","1"
"8","true","0.59","34","53","36","0.08","0.59","0","53","36","0.9","0.2","0.02","2741","823","2742","1"
"3","true","0.59","34","53","36","0.03","0.59","0","53","36","0.9","0.2","0.02","2797","889","2798","1"
"16","true","0.59","34","53","36","0.16","0.59","0","53","36","0.9","0.2","0.02","1327","414","1328","1"
"2","true","0.59","34","53","36","0.02","0.59","0","53","36","0.9","0.2","0.02","3125","957","3126","1"
"10","true","0.59","34","53","36","0.1","0.59","0","53","36","0.9","0.2","0.02","3302","1031","3303","2"
"4","true","0.59","34","53","36","0.04","0.59","0","53","36","0.9","0.2","0.02","3318","1048","3319","1"
"21","true","0.59","34","53","36","0.21","0.59","0","53","36","0.9","0.2","0.02","1159","354","1160","1"
"13","true","0.59","34","53","36","0.13","0.59","0","53","36","0.9","0.2","0.02","2682","871","2683","1"
"12","true","0.59","34","53","36","0.12","0.59","0","53","36","0.9","0.2","0.02","3242","1029","3243","1"
"19","true","0.59","34","53","36","0.19","0.59","0","53","36","0.9","0.2","0.02","1946","637","1947","1"
"14","true","0.59","34","53","36","0.14","0.59","0","53","36","0.9","0.2","0.02","3080","998","3081","2"
"17","true","0.59","34","53","36","0.17","0.59","0","53","36","0.9","0.2","0.02","2484","785","2485","1"
"22","true","0.59","34","53","36","0.22","0.59","0","53","36","0.9","0.2","0.02","1385","428","1386","1"
"25","true","0.59","34","53","36","0.25","0.59","0","53","36","0.9","0.2","0.02","1858","612","1859","1"
"28","true","0.59","34","53","36","0.28","0.59","0","53","36","0.9","0.2","0.02","1287","348","1288","1"
"20","true","0.59","34","53","36","0.2","0.59","0","53","36","0.9","0.2","0.02","2204","733","2205","2"
"27","true","0.59","34","53","36","0.27","0.59","0","53","36","0.9","0.2","0.02","1532","483","1533","1"
"33","true","0.59","34","53","36","0.33","0.59","0","53","36","0.9","0.2","0.02","753","212","754","1"
"24","true","0.59","34","53","36","0.24","0.59","0","53","36","0.9","0.2","0.02","2255","726","2256","1"
"29","true","0.59","34","53","36","0.29","0.59","0","53","36","0.9","0.2","0.02","1765","561","1766","1"
"18","true","0.59","34","53","36","0.18","0.59","0","53","36","0.9","0.2","0.02","3358","1073","3359","1"
"26","true","0.59","34","53","36","0.26","0.59","0","53","36","0.9","0.2","0.02","2347","710","2348","1"
"34","true","0.59","34","53","36","0.34","0.59","0","53","36","0.9","0.2","0.02","1253","410","1254","1"
"32","true","0.59","34","53","36","0.32","0.59","0","53","36","0.9","0.2","0.02","1585","501","1586","1"
"40","true","0.59","34","53","36","0.4","0.59","0","53","36","0.9","0.2","0.02","457","138","458","1"
"42","true","0.59","34","53","36","0.42","0.59","0","53","36","0.9","0.2","0.02","590","187","591","1"
"23","true","0.59","34","53","36","0.23","0.59","0","53","36","0.9","0.2","0.02","2880","964","2881","2"
"30","true","0.59","34","53","36","0.3","0.59","0","53","36","0.9","0.2","0.02","2478","812","2479","1"
"44","true","0.59","34","53","36","0.44","0.59","0","53","36","0.9","0.2","0.02","669","193","670","1"
"36","true","0.59","34","53","36","0.36","0.59","0","53","36","0.9","0.2","0.02","2027","650","2028","1"
"41","true","0.59","34","53","36","0.41","0.59","0","53","36","0.9","0.2","0.02","1491","476","1492","1"
"39","true","0.59","34","53","36","0.39","0.59","0","53","36","0.9","0.2","0.02","1700","563","1701","1"
